Driver,Compound,TyreLife,LapNumber,lap_time_s
ALO,MEDIUM,67.0,67.0,78.126
ALO,MEDIUM,68.0,68.0,77.939
ALO,MEDIUM,69.0,69.0,78.713
ALO,MEDIUM,70.0,70.0,78.473
ALO,MEDIUM,71.0,71.0,78.133
ALO,MEDIUM,72.0,72.0,78.081
ALO,MEDIUM,73.0,73.0,78.504
ALO,MEDIUM,74.0,74.0,80.336
ALO,MEDIUM,75.0,75.0,78.663
ALO,MEDIUM,76.0,76.0,79.053
RIC,HARD,3.0,3.0,89.656
RIC,HARD,4.0,4.0,83.524
RIC,HARD,5.0,5.0,83.744
RIC,HARD,6.0,6.0,82.748
RIC,HARD,7.0,7.0,82.747
RIC,HARD,8.0,8.0,82.433
RIC,HARD,9.0,9.0,81.528
RIC,HARD,10.0,10.0,81.976
RIC,HARD,11.0,11.0,81.53
RIC,HARD,12.0,12.0,81.277
RIC,HARD,13.0,13.0,81.416
RIC,HARD,14.0,14.0,81.391
RIC,HARD,15.0,15.0,81.177
RIC,HARD,16.0,16.0,81.125
RIC,HARD,17.0,17.0,80.862
RIC,HARD,18.0,18.0,81.108
RIC,HARD,19.0,19.0,81.31
RIC,HARD,20.0,20.0,80.942
RIC,HARD,21.0,21.0,80.817
RIC,HARD,22.0,22.0,80.849
RIC,HARD,23.0,23.0,80.662
RIC,HARD,24.0,24.0,80.348
RIC,HARD,25.0,25.0,81.029
RIC,HARD,26.0,26.0,80.691
RIC,HARD,27.0,27.0,81.365
RIC,HARD,28.0,28.0,81.566
RIC,HARD,29.0,29.0,81.265
RIC,HARD,30.0,30.0,80.9
RIC,HARD,31.0,31.0,80.703
RIC,HARD,32.0,32.0,80.94
RIC,HARD,33.0,33.0,80.395
RIC,HARD,34.0,34.0,80.84
RIC,HARD,35.0,35.0,80.54
RIC,HARD,36.0,36.0,81.126
RIC,HARD,37.0,37.0,81.358
RIC,HARD,38.0,38.0,81.099
RIC,HARD,39.0,39.0,81.255
RIC,HARD,40.0,40.0,80.87
RIC,HARD,41.0,41.0,85.218
RIC,HARD,42.0,42.0,81.527
RIC,HARD,43.0,43.0,81.053
RIC,HARD,44.0,44.0,78.003
RIC,HARD,45.0,45.0,81.761
RIC,HARD,46.0,46.0,77.172
RIC,HARD,47.0,47.0,81.071
RIC,HARD,48.0,48.0,78.282
RIC,HARD,49.0,49.0,79.837
RIC,HARD,50.0,50.0,79.796
RIC,HARD,51.0,51.0,82.683
RIC,HARD,52.0,52.0,80.696
RIC,HARD,53.0,53.0,80.079
RIC,HARD,54.0,54.0,79.176
RIC,HARD,55.0,55.0,79.457
RIC,HARD,56.0,56.0,82.007
RIC,HARD,57.0,57.0,79.672
RIC,HARD,58.0,58.0,79.119
RIC,HARD,59.0,59.0,78.936
RIC,HARD,60.0,60.0,79.23
RIC,HARD,61.0,61.0,78.771
RIC,HARD,62.0,62.0,78.977
RIC,HARD,63.0,63.0,78.805
RIC,HARD,64.0,64.0,78.637
RIC,HARD,65.0,65.0,78.73
RIC,HARD,66.0,66.0,78.248
RIC,HARD,67.0,67.0,78.219
RIC,HARD,68.0,68.0,78.116
RIC,HARD,69.0,69.0,78.386
RIC,HARD,70.0,70.0,78.706
RIC,HARD,71.0,71.0,78.108
RIC,HARD,72.0,72.0,78.068
RIC,HARD,73.0,73.0,78.512
RIC,HARD,74.0,74.0,80.358
RIC,HARD,75.0,75.0,78.645
RIC,HARD,76.0,76.0,78.93
BOT,MEDIUM,2.0,3.0,89.743
BOT,MEDIUM,3.0,4.0,83.386
BOT,MEDIUM,4.0,5.0,83.636
BOT,MEDIUM,5.0,6.0,82.868
BOT,MEDIUM,6.0,7.0,82.832
BOT,MEDIUM,7.0,8.0,82.249
BOT,MEDIUM,8.0,9.0,81.715
BOT,MEDIUM,9.0,10.0,81.947
BOT,MEDIUM,10.0,11.0,81.547
BOT,MEDIUM,11.0,12.0,81.328
BOT,MEDIUM,12.0,13.0,81.54
BOT,MEDIUM,13.0,14.0,81.221
BOT,HARD,3.0,17.0,76.561
BOT,HARD,4.0,18.0,76.567
BOT,HARD,5.0,19.0,77.829
BOT,HARD,6.0,20.0,79.124
BOT,HARD,7.0,21.0,80.462
BOT,HARD,8.0,22.0,81.022
BOT,HARD,9.0,23.0,80.75
BOT,HARD,10.0,24.0,80.564
BOT,HARD,11.0,25.0,80.783
BOT,HARD,12.0,26.0,80.851
BOT,HARD,13.0,27.0,81.37
BOT,HARD,14.0,28.0,81.765
BOT,HARD,15.0,29.0,80.857
BOT,HARD,16.0,30.0,81.47
BOT,HARD,17.0,31.0,80.752
BOT,HARD,18.0,32.0,80.658
BOT,HARD,19.0,33.0,80.525
BOT,HARD,20.0,34.0,80.903
BOT,HARD,21.0,35.0,80.254
BOT,HARD,22.0,36.0,81.196
BOT,HARD,23.0,37.0,81.386
BOT,HARD,24.0,38.0,80.948
BOT,HARD,25.0,39.0,83.172
BOT,HARD,26.0,40.0,83.591
BOT,HARD,27.0,41.0,80.23
BOT,HARD,28.0,42.0,82.109
BOT,HARD,29.0,43.0,80.912
BOT,HARD,30.0,44.0,79.772
BOT,HARD,31.0,45.0,80.043
BOT,HARD,32.0,46.0,80.417
BOT,HARD,33.0,47.0,82.969
BOT,HARD,34.0,48.0,80.562
BOT,HARD,35.0,49.0,80.818
BOT,HARD,36.0,50.0,80.239
BOT,HARD,37.0,51.0,77.205
BOT,HARD,38.0,52.0,77.202
BOT,HARD,39.0,53.0,78.456
BOT,HARD,40.0,54.0,79.403
BOT,HARD,41.0,55.0,80.375
BOT,HARD,42.0,56.0,81.657
BOT,HARD,43.0,57.0,78.994
BOT,HARD,44.0,58.0,79.28
BOT,HARD,45.0,59.0,78.999
BOT,HARD,46.0,60.0,79.069
BOT,HARD,47.0,61.0,78.623
BOT,HARD,48.0,62.0,78.964
BOT,HARD,49.0,63.0,79.024
BOT,HARD,50.0,64.0,78.531
BOT,HARD,51.0,65.0,78.642
BOT,HARD,52.0,66.0,78.383
BOT,HARD,53.0,67.0,78.467
BOT,HARD,54.0,68.0,78.052
BOT,HARD,55.0,69.0,78.088
BOT,HARD,56.0,70.0,78.778
BOT,HARD,57.0,71.0,78.104
BOT,HARD,58.0,72.0,78.347
BOT,HARD,59.0,73.0,80.068
BOT,HARD,60.0,74.0,78.318
BOT,HARD,61.0,75.0,78.779
BOT,HARD,62.0,76.0,78.774
STR,MEDIUM,3.0,3.0,88.303
STR,MEDIUM,4.0,4.0,83.354
STR,MEDIUM,5.0,5.0,83.731
STR,MEDIUM,6.0,6.0,82.977
STR,MEDIUM,7.0,7.0,82.634
STR,MEDIUM,8.0,8.0,81.653
STR,MEDIUM,9.0,9.0,82.09
STR,MEDIUM,10.0,10.0,81.725
STR,MEDIUM,11.0,11.0,81.517
STR,MEDIUM,12.0,12.0,81.471
STR,MEDIUM,13.0,13.0,81.314
STR,MEDIUM,14.0,14.0,80.427
STR,MEDIUM,15.0,15.0,80.781
STR,MEDIUM,16.0,16.0,81.189
STR,MEDIUM,17.0,17.0,81.97
STR,MEDIUM,18.0,18.0,80.698
STR,MEDIUM,19.0,19.0,80.353
STR,MEDIUM,20.0,20.0,79.398
STR,MEDIUM,21.0,21.0,79.016
STR,MEDIUM,22.0,22.0,81.307
STR,MEDIUM,23.0,23.0,81.188
STR,MEDIUM,24.0,24.0,81.621
STR,MEDIUM,25.0,25.0,80.506
STR,MEDIUM,26.0,26.0,80.589
STR,MEDIUM,27.0,27.0,80.307
STR,MEDIUM,28.0,28.0,80.131
STR,MEDIUM,29.0,29.0,79.464
STR,MEDIUM,30.0,30.0,81.422
STR,MEDIUM,31.0,31.0,82.535
STR,MEDIUM,32.0,32.0,81.252
STR,MEDIUM,33.0,33.0,80.536
STR,MEDIUM,34.0,34.0,79.789
STR,MEDIUM,35.0,35.0,79.497
STR,MEDIUM,36.0,36.0,79.297
STR,MEDIUM,37.0,37.0,79.638
STR,MEDIUM,38.0,38.0,79.706
STR,MEDIUM,39.0,39.0,79.867
STR,MEDIUM,40.0,40.0,80.45
STR,MEDIUM,41.0,41.0,80.2
STR,HARD,4.0,44.0,78.551
STR,HARD,5.0,45.0,78.806
STR,HARD,6.0,46.0,78.296
STR,HARD,7.0,47.0,78.062
STR,SOFT,2.0,50.0,77.788
STR,SOFT,3.0,51.0,76.982
STR,SOFT,4.0,52.0,77.35
STR,SOFT,5.0,53.0,81.547
STR,SOFT,6.0,54.0,80.571
STR,SOFT,7.0,55.0,79.963
STR,SOFT,8.0,56.0,77.279
STR,SOFT,9.0,57.0,76.914
STR,SOFT,10.0,58.0,77.156
STR,SOFT,11.0,59.0,76.71
STR,SOFT,12.0,60.0,77.326
STR,SOFT,13.0,61.0,78.298
STR,SOFT,14.0,62.0,79.07
STR,SOFT,15.0,63.0,79.1
STR,SOFT,16.0,64.0,78.425
STR,SOFT,17.0,65.0,78.732
STR,SOFT,18.0,66.0,78.748
STR,SOFT,19.0,67.0,78.636
STR,SOFT,20.0,68.0,78.057
STR,SOFT,21.0,69.0,78.275
STR,SOFT,22.0,70.0,78.557
STR,SOFT,23.0,71.0,78.464
STR,SOFT,24.0,72.0,78.332
STR,SOFT,25.0,73.0,80.709
STR,SOFT,26.0,74.0,78.23
STR,SOFT,27.0,75.0,78.511
STR,SOFT,28.0,76.0,78.623
SAR,HARD,3.0,3.0,90.077
SAR,HARD,4.0,4.0,83.682
SAR,HARD,5.0,5.0,83.674
SAR,HARD,6.0,6.0,82.739
SAR,HARD,7.0,7.0,82.899
SAR,HARD,8.0,8.0,82.221
SAR,HARD,9.0,9.0,81.679
SAR,HARD,10.0,10.0,81.944
SAR,HARD,11.0,11.0,81.492
SAR,HARD,12.0,12.0,81.404
SAR,HARD,13.0,13.0,81.499
SAR,HARD,14.0,14.0,81.219
SAR,HARD,15.0,15.0,81.34
SAR,HARD,16.0,16.0,80.646
SAR,HARD,17.0,17.0,81.016
SAR,HARD,18.0,18.0,81.031
SAR,HARD,19.0,19.0,81.221
SAR,HARD,20.0,20.0,80.853
SAR,HARD,21.0,21.0,80.849
SAR,HARD,22.0,22.0,80.897
SAR,HARD,23.0,23.0,80.593
SAR,HARD,24.0,24.0,80.395
SAR,HARD,25.0,25.0,80.903
SAR,HARD,26.0,26.0,80.929
SAR,HARD,27.0,27.0,81.231
SAR,HARD,28.0,28.0,81.604
SAR,HARD,29.0,29.0,81.334
SAR,HARD,30.0,30.0,80.84
SAR,HARD,31.0,31.0,80.775
SAR,HARD,32.0,32.0,80.797
SAR,HARD,33.0,33.0,80.53
SAR,HARD,34.0,34.0,80.738
SAR,HARD,35.0,35.0,80.584
SAR,HARD,36.0,36.0,81.134
SAR,HARD,37.0,37.0,81.404
SAR,HARD,38.0,38.0,81.131
SAR,HARD,39.0,39.0,81.273
SAR,HARD,40.0,40.0,81.78
SAR,HARD,41.0,41.0,84.378
SAR,HARD,42.0,42.0,81.87
SAR,HARD,43.0,43.0,80.552
SAR,HARD,44.0,44.0,79.511
SAR,HARD,45.0,45.0,80.72
SAR,HARD,46.0,46.0,80.124
SAR,HARD,47.0,47.0,79.888
SAR,HARD,48.0,48.0,80.97
SAR,HARD,49.0,49.0,83.966
SAR,HARD,50.0,50.0,80.292
SAR,HARD,51.0,51.0,81.817
SAR,HARD,52.0,52.0,80.78
SAR,HARD,53.0,53.0,81.318
SAR,HARD,54.0,54.0,82.289
SAR,HARD,55.0,55.0,80.342
SAR,HARD,56.0,56.0,81.474
SAR,MEDIUM,2.0,59.0,75.594
SAR,MEDIUM,3.0,60.0,75.58
SAR,MEDIUM,4.0,61.0,75.558
SAR,MEDIUM,5.0,62.0,75.525
SAR,MEDIUM,6.0,63.0,75.688
SAR,MEDIUM,7.0,64.0,76.895
SAR,MEDIUM,8.0,65.0,79.869
SAR,MEDIUM,9.0,66.0,80.799
SAR,MEDIUM,10.0,67.0,80.347
SAR,MEDIUM,11.0,68.0,80.004
SAR,MEDIUM,12.0,69.0,76.077
SAR,MEDIUM,13.0,70.0,76.866
SAR,MEDIUM,14.0,71.0,76.326
SAR,MEDIUM,15.0,72.0,76.402
SAR,MEDIUM,16.0,73.0,76.37
SAR,MEDIUM,17.0,74.0,76.863
SAR,MEDIUM,18.0,75.0,76.324
SAR,MEDIUM,19.0,76.0,77.197
ZHO,HARD,2.0,3.0,90.396
ZHO,HARD,3.0,4.0,83.698
ZHO,HARD,4.0,5.0,83.494
ZHO,HARD,5.0,6.0,82.649
ZHO,HARD,6.0,7.0,82.934
ZHO,HARD,7.0,8.0,82.182
ZHO,HARD,8.0,9.0,81.81
ZHO,HARD,9.0,10.0,81.944
ZHO,HARD,10.0,11.0,81.563
ZHO,HARD,11.0,12.0,81.193
ZHO,HARD,12.0,13.0,81.529
ZHO,HARD,13.0,14.0,81.264
ZHO,HARD,14.0,15.0,81.447
ZHO,HARD,15.0,16.0,80.481
ZHO,HARD,16.0,17.0,80.979
ZHO,HARD,17.0,18.0,80.911
ZHO,HARD,18.0,19.0,81.42
ZHO,HARD,19.0,20.0,80.904
ZHO,HARD,20.0,21.0,80.669
ZHO,HARD,21.0,22.0,81.083
ZHO,HARD,22.0,23.0,80.792
ZHO,HARD,23.0,24.0,80.347
ZHO,HARD,24.0,25.0,80.763
ZHO,HARD,25.0,26.0,80.869
ZHO,HARD,26.0,27.0,81.293
ZHO,HARD,27.0,28.0,81.516
ZHO,HARD,28.0,29.0,81.338
ZHO,HARD,29.0,30.0,81.044
ZHO,HARD,30.0,31.0,80.806
ZHO,HARD,31.0,32.0,80.782
ZHO,HARD,32.0,33.0,80.677
ZHO,HARD,33.0,34.0,80.736
ZHO,HARD,34.0,35.0,80.372
ZHO,HARD,35.0,36.0,80.986
ZHO,HARD,36.0,37.0,81.449
ZHO,HARD,37.0,38.0,81.09
ZHO,HARD,38.0,39.0,81.233
ZHO,HARD,39.0,40.0,84.969
ZHO,HARD,40.0,41.0,81.127
ZHO,HARD,41.0,42.0,81.957
ZHO,HARD,42.0,43.0,80.578
ZHO,HARD,43.0,44.0,79.61
ZHO,HARD,44.0,45.0,80.686
ZHO,HARD,45.0,46.0,80.146
ZHO,HARD,46.0,47.0,80.075
ZHO,HARD,47.0,48.0,82.481
ZHO,HARD,48.0,49.0,82.134
ZHO,HARD,49.0,50.0,80.946
ZHO,HARD,50.0,51.0,80.962
ZHO,HARD,51.0,52.0,80.97
ZHO,HARD,52.0,53.0,81.375
ZHO,HARD,53.0,54.0,82.153
ZHO,HARD,54.0,55.0,81.399
ZHO,HARD,55.0,56.0,80.315
ZHO,HARD,56.0,57.0,81.119
ZHO,HARD,57.0,58.0,78.795
ZHO,HARD,58.0,59.0,77.936
ZHO,HARD,59.0,60.0,78.545
ZHO,HARD,60.0,61.0,78.707
ZHO,HARD,61.0,62.0,78.817
ZHO,HARD,62.0,63.0,78.789
ZHO,HARD,63.0,64.0,79.295
ZHO,HARD,64.0,65.0,79.719
ZHO,HARD,65.0,66.0,79.749
ZHO,HARD,66.0,67.0,80.357
ZHO,HARD,67.0,68.0,85.217
ZHO,HARD,68.0,69.0,80.484
ZHO,SOFT,2.0,72.0,80.585
ZHO,SOFT,3.0,73.0,75.233
ZHO,SOFT,4.0,74.0,80.473
ZHO,SOFT,5.0,75.0,74.718
ZHO,SOFT,6.0,76.0,77.173
